Model,Scenario,Format,Success,RulesFired,GenerationTimeMs,ErrorMessage
qwen2.5-coder:14b-instruct-q4_K_M,Loan Eligibility,ENGLISH,true,1,5526,
qwen2.5-coder:14b-instruct-q4_K_M,Insurance Premium Tier,DRL,true,1,3569,
qwen2.5-coder:14b-instruct-q4_K_M,Insurance Premium Tier,YAML,true,1,5028,
qwen2.5-coder:14b-instruct-q4_K_M,Insurance Premium Tier,ENGLISH,true,1,7683,
qwen2.5-coder:14b-instruct-q4_K_M,Tax Bracket,DRL,true,1,3940,
qwen2.5-coder:14b-instruct-q4_K_M,Tax Bracket,YAML,true,1,4962,
qwen2.5-coder:14b-instruct-q4_K_M,Tax Bracket,ENGLISH,true,1,8047,
qwen2.5-coder:14b-instruct-q4_K_M,Status Transition,DRL,true,1,1895,
qwen2.5-coder:14b-instruct-q4_K_M,Status Transition,YAML,true,1,2336,
qwen2.5-coder:14b-instruct-q4_K_M,Status Transition,ENGLISH,true,1,4059,
qwen2.5-coder:14b-instruct-q4_K_M,Priority Assignment,DRL,true,1,3464,
qwen2.5-coder:14b-instruct-q4_K_M,Priority Assignment,YAML,true,1,4829,
qwen2.5-coder:14b-instruct-q4_K_M,Priority Assignment,ENGLISH,true,1,7147,
qwen2.5-coder:14b-instruct-q4_K_M,Grade Calculation,DRL,true,1,4456,
qwen2.5-coder:14b-instruct-q4_K_M,Grade Calculation,YAML,true,1,7698,
qwen2.5-coder:14b-instruct-q4_K_M,Grade Calculation,ENGLISH,true,1,9891,
granite-code:8b,Adult Validation,DRL,true,1,42611,
granite-code:8b,Adult Validation,YAML,true,1,1084,
granite-code:8b,Adult Validation,ENGLISH,true,1,2045,
granite-code:8b,Senior Citizen Discount,DRL,true,2,2254,
granite-code:8b,Senior Citizen Discount,YAML,false,0,5135,"YAML parsing error: while scanning a simple key
 in 'string', line 36, column 1:
    This YAML code defines the fact  ... 
    ^
could not find expected ':'
 in 'string', line 36, column 363:
     ... e 'discountPercent' field to 15.
                                         ^
"
granite-code:8b,Senior Citizen Discount,ENGLISH,false,0,3300,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=17, column=0
   text=Rule Compilation error Syntax error on token(s), misplaced construct(s)
discountPercent cannot be resolved to a type
Syntax error on token ""15"", ; expected]]"
granite-code:8b,Order Discount - Basic,DRL,true,1,1666,
granite-code:8b,Order Discount - Basic,YAML,false,0,2538,"YAML parsing error: while scanning a simple key
 in 'string', line 17, column 1:
    This rule checks if the 'total'  ... 
    ^
could not find expected ':'
 in 'string', line 17, column 200:
     ... ue for that specific Order fact.
                                         ^
"
granite-code:8b,Order Discount - Basic,ENGLISH,true,1,2729,
granite-code:8b,Order Discount - Tiered,DRL,false,0,3623,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=17, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Discount_$u45$_Silver1303833445
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Discount_$u45$_Silver1303833445
The method setDiscountTier(String) is undefined for the type Rule_Discount_$u45$_Silver1303833445
Syntax error, insert "";"" to complete Statement], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=24, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Discount_$u45$_Premium730632394
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Discount_$u45$_Premium730632394
The method setDiscountTier(String) is undefined for the type Rule_Discount_$u45$_Premium730632394
Syntax error, insert "";"" to complete Statement], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Discount_$u45$_Gold2114342692
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Discount_$u45$_Gold2114342692
The method setDiscountTier(String) is undefined for the type Rule_Discount_$u45$_Gold2114342692
Syntax error, insert "";"" to complete Statement]]"
granite-code:8b,Order Discount - Tiered,YAML,true,1,5045,
granite-code:8b,Order Discount - Tiered,ENGLISH,false,0,12702,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=26, column=0
   text=Rule Compilation error The method setDiscountPercent(int) is undefined for the type Order
total cannot be resolved to a variable
discountPercent cannot be resolved to a variable], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=17, column=0
   text=Rule Compilation error The method setDiscountPercent(int) is undefined for the type Order
total cannot be resolved to a variable
discountPercent cannot be resolved to a variable], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=8, column=0
   text=Rule Compilation error The method setDiscountPercent(int) is undefined for the type Order
total cannot be resolved to a variable
discountPercent cannot be resolved to a variable]]"
granite-code:8b,Simple Calculation,DRL,false,0,1679,Execution failed: class org.drools.generated.Rule_Calculate_Tax1382487753 tried to access protected field org.drools.generated.Invoice.subtotal (org.drools.generated.Rule_Calculate_Tax1382487753 is in unnamed module of loader org.drools.wiring.dynamic.PackageClassLoader @5dab9e7f; org.drools.generated.Invoice is in unnamed module of loader org.drools.wiring.dynamic.DynamicProjectClassLoader$DefaultInternalTypesClassLoader @3f33794c)
granite-code:8b,Simple Calculation,YAML,false,0,2385,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method setTaxAmount(double) in the type Invoice is not applicable for the arguments (String)
The method setTotal(double) in the type Invoice is not applicable for the arguments (String)]]"
